model,mae,mse
concat_llm_sentiment_headline_0,1.9607721208595752,6.985871131498977
concat_llm_sentiment_headline_1,2.026284843516795,7.533580754206144
concat_llm_sentiment_headline_2,1.986372625859131,7.2608926898711
concat_llm_sentiment_headline_3,2.153874586959144,7.958409002475826
concat_llm_sentiment_headline_4,1.8739906201702856,6.526909185270459
concat_llm_sentiment_headline_5,2.022731524422963,7.522031474764217
concat_llm_sentiment_headline_6,2.0546976327116244,7.71740485500136
concat_llm_sentiment_headline_7,2.004859073815828,7.230462861281136
concat_llm_sentiment_headline_8,2.4349042602506263,10.666123198373546
concat_llm_sentiment_headline_9,2.087984323775282,7.892153962321005
concat_llm_sentiment_headline_10,1.9067525663996592,6.746747894662248
concat_llm_sentiment_headline_11,1.8880917101314816,6.681203640210512
concat_llm_sentiment_headline_12,1.93114092324044,6.87159378896478
concat_llm_sentiment_headline_13,2.705294371413495,11.929621153362731
concat_llm_sentiment_headline_14,1.8822933840876677,6.572561101852441
concat_llm_sentiment_headline_15,2.087324898857524,7.6425842086627105
concat_llm_sentiment_headline_16,2.003391193919776,7.1252833560135365
concat_llm_sentiment_headline_17,2.083052256957873,7.989368198057837
concat_llm_sentiment_headline_18,2.0744161712882905,7.541034970545656
concat_llm_sentiment_headline_19,1.9721591430854648,6.99141214564345
concat_llm_sentiment_headline_20,2.123959428905081,7.7671948280515295
concat_llm_sentiment_headline_21,2.092963863559885,7.812800022724526
concat_llm_sentiment_headline_22,2.192533663754139,8.700407260530369
concat_llm_sentiment_headline_23,1.968600642999406,6.921205706211814
concat_llm_sentiment_headline_24,2.1329430388368844,8.282924243146955
concat_llm_sentiment_headline_25,2.092436284436547,7.660185076830947
concat_llm_sentiment_headline_26,1.9585233497232044,7.0113612575941575
concat_llm_sentiment_headline_27,2.094884328336953,7.964431021832405
concat_llm_sentiment_headline_28,1.9266431293691644,6.852861051841979
concat_llm_sentiment_headline_29,2.006377720432752,7.387716815648195
concat_llm_sentiment_headline_average,2.057675122735898,7.658211228581751
