model,mae,mse
concat_llm_sentiment_weighted_headline_0,2.1845826878104284,8.545103649854568
concat_llm_sentiment_weighted_headline_1,2.006944789545207,7.260192839591309
concat_llm_sentiment_weighted_headline_2,2.1818647704440797,8.160365386982793
concat_llm_sentiment_weighted_headline_3,2.020161971969015,7.403899149567582
concat_llm_sentiment_weighted_headline_4,1.9607842957610555,6.993722060492031
concat_llm_sentiment_weighted_headline_5,2.0112668430583014,6.987794249702924
concat_llm_sentiment_weighted_headline_6,1.9805693006805771,6.865709178261125
concat_llm_sentiment_weighted_headline_7,1.9830722928304936,6.870525042849059
concat_llm_sentiment_weighted_headline_8,2.2215031744926983,8.817306085455046
concat_llm_sentiment_weighted_headline_9,1.9993960383004257,7.182878077882331
concat_llm_sentiment_weighted_headline_10,1.921667030341893,6.735338063345632
concat_llm_sentiment_weighted_headline_11,2.118572210317896,8.148270713133897
concat_llm_sentiment_weighted_headline_12,1.8780334649626065,6.488509234274621
concat_llm_sentiment_weighted_headline_13,2.050555212720347,7.58573910794215
concat_llm_sentiment_weighted_headline_14,2.0539573019802924,7.588616675735208
concat_llm_sentiment_weighted_headline_15,2.123517045497506,8.096043361773257
concat_llm_sentiment_weighted_headline_16,2.0303272555804135,7.464652253254223
concat_llm_sentiment_weighted_headline_17,2.072772757925453,7.770703467496649
concat_llm_sentiment_weighted_headline_18,2.381611755712764,10.11013382688419
concat_llm_sentiment_weighted_headline_19,1.9682270251489864,7.013866481351263
concat_llm_sentiment_weighted_headline_20,2.3851699555714876,10.24508478877464
concat_llm_sentiment_weighted_headline_21,2.0374066834798734,7.511553881914643
concat_llm_sentiment_weighted_headline_22,1.9998903033040705,6.958019246663354
concat_llm_sentiment_weighted_headline_23,2.3177831417551227,9.516603246376672
concat_llm_sentiment_weighted_headline_24,2.183611182524329,8.591472399869007
concat_llm_sentiment_weighted_headline_25,1.990467979496828,6.9129594365520965
concat_llm_sentiment_weighted_headline_26,2.5583575983510976,11.69827487851151
concat_llm_sentiment_weighted_headline_27,2.0911148792173564,7.886557235862885
concat_llm_sentiment_weighted_headline_28,2.4885249278242543,10.099125803803917
concat_llm_sentiment_weighted_headline_29,2.3949192966204316,9.522409721523584
concat_llm_sentiment_weighted_headline_average,2.1198877724408427,8.034380984856073
