model,mae,mse
concat_llm_ensemble_weighted_headline_0,3.761853489273478,31.893056491069466
concat_llm_ensemble_weighted_headline_1,3.991944590118603,34.40936808519497
concat_llm_ensemble_weighted_headline_2,4.498725042875838,40.73103497062253
concat_llm_ensemble_weighted_headline_3,3.770369616661256,31.955568372130653
concat_llm_ensemble_weighted_headline_4,4.512477064339149,40.6690231418083
concat_llm_ensemble_weighted_headline_5,4.681779978149375,42.83197935246494
concat_llm_ensemble_weighted_headline_6,4.690768880789771,43.181184541557485
concat_llm_ensemble_weighted_headline_7,4.641176079363737,42.290814703252224
concat_llm_ensemble_weighted_headline_8,4.438400556218139,39.96045977080055
concat_llm_ensemble_weighted_headline_9,3.805065488352473,32.32885277393738
concat_llm_ensemble_weighted_headline_10,4.470273514479865,40.01249527980697
concat_llm_ensemble_weighted_headline_11,3.9074099140636567,33.227484511892996
concat_llm_ensemble_weighted_headline_12,5.561821440819218,57.11447289037915
concat_llm_ensemble_weighted_headline_13,3.819499862864472,32.562092203365204
concat_llm_ensemble_weighted_headline_14,4.47535652179228,40.12099112338038
concat_llm_ensemble_weighted_headline_15,4.639690273823933,42.37932875600516
concat_llm_ensemble_weighted_headline_16,4.498976040968006,40.447011262767695
concat_llm_ensemble_weighted_headline_17,4.740675360501491,43.82851165604709
concat_llm_ensemble_weighted_headline_18,5.13636459779475,49.198038821108064
concat_llm_ensemble_weighted_headline_19,4.803960413286863,44.71251572276723
concat_llm_ensemble_weighted_headline_20,4.641930631244474,42.562044426737295
concat_llm_ensemble_weighted_headline_21,4.621759826462734,42.03704024949011
concat_llm_ensemble_weighted_headline_22,4.585673904660853,41.20184332406207
concat_llm_ensemble_weighted_headline_23,3.993046468260796,34.25535391664831
concat_llm_ensemble_weighted_headline_24,4.55682373588867,41.53737466824559
concat_llm_ensemble_weighted_headline_25,4.1261524346137755,35.76619872729417
concat_llm_ensemble_weighted_headline_26,5.177572510010586,50.59977754281685
concat_llm_ensemble_weighted_headline_27,4.757829872264307,43.938455842209024
concat_llm_ensemble_weighted_headline_28,4.412470407808764,39.688774006837896
concat_llm_ensemble_weighted_headline_29,3.7889910132752576,32.0913606072418
concat_llm_ensemble_weighted_headline_average,4.450294651034218,40.25108359139805
