model,mae,mse
concat_llm_ensemble_weighted_headline_0,3.937225382343807,25.963875847508817
concat_llm_ensemble_weighted_headline_1,3.852750220502168,25.474796383154583
concat_llm_ensemble_weighted_headline_2,4.231959340657007,28.44919466327824
concat_llm_ensemble_weighted_headline_3,3.995976552761975,28.19062639307593
concat_llm_ensemble_weighted_headline_4,4.208681814605678,28.805232611947098
concat_llm_ensemble_weighted_headline_5,3.888493351560561,26.246912196777195
concat_llm_ensemble_weighted_headline_6,3.872963619932873,26.092526293140356
concat_llm_ensemble_weighted_headline_7,4.130302055254077,30.224390997897967
concat_llm_ensemble_weighted_headline_8,4.289340196231931,32.815093931124885
concat_llm_ensemble_weighted_headline_9,4.163586202189562,30.860084190713295
concat_llm_ensemble_weighted_headline_10,3.831782619904142,25.251013920337787
concat_llm_ensemble_weighted_headline_11,4.291654853972529,29.51597508444046
concat_llm_ensemble_weighted_headline_12,4.1289188685097145,27.81582382143432
concat_llm_ensemble_weighted_headline_13,3.89135322573303,26.01552703560299
concat_llm_ensemble_weighted_headline_14,3.862108556517325,25.85617612964147
concat_llm_ensemble_weighted_headline_15,4.09191458660714,29.67351483888431
concat_llm_ensemble_weighted_headline_16,4.222351594994175,31.7286109576842
concat_llm_ensemble_weighted_headline_17,3.8899306547429178,26.417568429435217
concat_llm_ensemble_weighted_headline_18,3.852184477805616,25.649262645965184
concat_llm_ensemble_weighted_headline_19,4.232776799245289,31.906127557547535
concat_llm_ensemble_weighted_headline_20,3.910096896282453,26.09788672804055
concat_llm_ensemble_weighted_headline_21,3.8647914882219143,25.760288897707404
concat_llm_ensemble_weighted_headline_22,4.097885760136414,29.769680992421733
concat_llm_ensemble_weighted_headline_23,3.85546942231934,25.926608911354116
concat_llm_ensemble_weighted_headline_24,3.85480612920082,25.81072974121586
concat_llm_ensemble_weighted_headline_25,3.823329686044968,25.19310352476606
concat_llm_ensemble_weighted_headline_26,3.846359319939514,25.438573500930804
concat_llm_ensemble_weighted_headline_27,3.844091918281838,25.591954714878025
concat_llm_ensemble_weighted_headline_28,3.864661212672232,25.98547386016003
concat_llm_ensemble_weighted_headline_29,3.829938400144477,25.255235340563654
concat_llm_ensemble_weighted_headline_average,3.988589506910516,27.45939567138767
