model,mae,mse
concat_llm_sentiment_weighted_headline_0,3.8344485563120343,32.974447043703364
concat_llm_sentiment_weighted_headline_1,2.119553787865403,10.676736249536823
concat_llm_sentiment_weighted_headline_2,3.865077826924335,33.22603395913768
concat_llm_sentiment_weighted_headline_3,1.98974502461184,9.349175890604316
concat_llm_sentiment_weighted_headline_4,3.886632165131571,33.643679856818125
concat_llm_sentiment_weighted_headline_5,3.498718273439087,27.702275812313715
concat_llm_sentiment_weighted_headline_6,3.291108195091601,24.0366759385247
concat_llm_sentiment_weighted_headline_7,3.7873958250935065,31.02093674863182
concat_llm_sentiment_weighted_headline_8,2.8820943808575317,19.09168833118164
concat_llm_sentiment_weighted_headline_9,3.981636035830485,34.68541288798633
concat_llm_sentiment_weighted_headline_10,3.268308638816822,23.868895138335795
concat_llm_sentiment_weighted_headline_11,4.426169815123858,41.911200135539175
concat_llm_sentiment_weighted_headline_12,3.1421192308089125,22.50571425165101
concat_llm_sentiment_weighted_headline_13,3.831458687889022,31.852861453459763
concat_llm_sentiment_weighted_headline_14,2.7272642135992977,17.620065940352983
concat_llm_sentiment_weighted_headline_15,3.2982514565930035,23.689900770048123
concat_llm_sentiment_weighted_headline_16,3.481875627457112,27.25115147071049
concat_llm_sentiment_weighted_headline_17,5.228771755780702,57.7372415888721
concat_llm_sentiment_weighted_headline_18,4.58185304253478,44.79817765743277
concat_llm_sentiment_weighted_headline_19,4.0282567834090415,35.59602567773567
concat_llm_sentiment_weighted_headline_20,3.817204120306109,31.77900475275762
concat_llm_sentiment_weighted_headline_21,3.4393256519010276,26.07534364270208
concat_llm_sentiment_weighted_headline_22,2.4172989130706974,13.697305449113308
concat_llm_sentiment_weighted_headline_23,3.685690679441091,30.5134600866666
concat_llm_sentiment_weighted_headline_24,4.508195486062948,43.854855301909005
concat_llm_sentiment_weighted_headline_25,2.540224856047091,15.49105502084899
concat_llm_sentiment_weighted_headline_26,3.1639452610068246,22.5586407790212
concat_llm_sentiment_weighted_headline_27,2.1510944623354025,11.262566208225794
concat_llm_sentiment_weighted_headline_28,3.143904519705091,21.806804044375145
concat_llm_sentiment_weighted_headline_29,3.113137020916182,21.83561894428572
concat_llm_sentiment_weighted_headline_average,3.437692009798747,27.403765034416057
