model,mae,mse
djia_lstm_0,251.78875212667597,101754.22359142153
djia_lstm_1,224.70248589661,83989.23568416183
djia_lstm_2,228.55945627226927,86800.52801118168
djia_lstm_3,248.8945328650837,99141.44748509208
djia_lstm_4,246.20561478997607,97034.8682559026
djia_lstm_5,322.22283326632623,155640.5742514305
djia_lstm_6,216.4549131953116,79112.14952644217
djia_lstm_7,258.450303455811,105350.9979063452
djia_lstm_8,274.4416317781896,117426.19082450544
djia_lstm_9,316.58363892914167,153553.7456689989
djia_lstm_10,291.5480338162215,130538.27201138846
djia_lstm_11,266.71370617051053,113273.2656878416
djia_lstm_12,207.36148930984237,73797.82108385657
djia_lstm_13,222.5108877921637,82517.7811126317
djia_lstm_14,240.766754013003,93671.59947541582
djia_lstm_15,265.53728448575134,110879.52541443286
djia_lstm_16,219.91715276446095,80741.37580263823
djia_lstm_17,467.6593488311399,314917.2426923536
djia_lstm_18,305.408143465983,142778.14673000763
djia_lstm_19,368.72610368155995,202525.37925999553
djia_lstm_20,249.3952981218192,99624.106055557
djia_lstm_21,262.68425033281136,109832.64820569709
djia_lstm_22,507.0602371037362,357225.456329551
djia_lstm_23,226.9479778435704,85123.54395229268
djia_lstm_24,368.9999640087077,205461.597393652
djia_lstm_25,261.0770653491251,107168.83999213565
djia_lstm_26,220.6916406380965,81986.52299557002
djia_lstm_27,350.42578149066634,183419.39390626052
djia_lstm_28,263.00363964096795,109449.45913404784
djia_lstm_29,258.93959796215387,106640.45472627634
djia_lstm_average,280.4559506465895,129045.87977223613
