model,mae,mse
gated_attention_llm_sentiment_headline_0,2.159455196505194,8.723444322317178
gated_attention_llm_sentiment_headline_1,3.301530517266993,18.48970728898735
gated_attention_llm_sentiment_headline_2,1.971178632846551,7.307833481433219
gated_attention_llm_sentiment_headline_3,2.011041837340587,7.476016173752695
gated_attention_llm_sentiment_headline_4,2.735166887742176,13.04042844284483
gated_attention_llm_sentiment_headline_5,2.501838036904551,11.093046439308743
gated_attention_llm_sentiment_headline_6,2.5668171405400675,11.988480234589446
gated_attention_llm_sentiment_headline_7,2.6946863530798058,12.91056995943871
gated_attention_llm_sentiment_headline_8,2.2045625653721017,8.90551558002538
gated_attention_llm_sentiment_headline_9,2.2107616369074763,9.04185208219187
gated_attention_llm_sentiment_headline_10,2.5353148576211786,11.526868196922647
gated_attention_llm_sentiment_headline_11,2.995147937241457,15.88895153253156
gated_attention_llm_sentiment_headline_12,2.5663677091680466,11.757468408601865
gated_attention_llm_sentiment_headline_13,2.747604977333579,13.03530095432558
gated_attention_llm_sentiment_headline_14,2.379441416498721,10.429987631184355
gated_attention_llm_sentiment_headline_15,2.460271266138786,11.140946288232938
gated_attention_llm_sentiment_headline_16,2.007566943637999,7.535849505925146
gated_attention_llm_sentiment_headline_17,1.928946705848193,6.880914824469501
gated_attention_llm_sentiment_headline_18,2.472363991534479,11.022265894096655
gated_attention_llm_sentiment_headline_19,2.4493626028124837,10.77338595755603
gated_attention_llm_sentiment_headline_20,3.0674911275999928,16.32091125191592
gated_attention_llm_sentiment_headline_21,3.1869227699886307,17.448576779645585
gated_attention_llm_sentiment_headline_22,3.2616724200049907,18.44504819027441
gated_attention_llm_sentiment_headline_23,2.6477725621161627,12.507942376920584
gated_attention_llm_sentiment_headline_24,2.187492440264518,8.760294782653316
gated_attention_llm_sentiment_headline_25,2.1436112553646383,8.521919716270874
gated_attention_llm_sentiment_headline_26,2.3247399773647106,9.853977593741346
gated_attention_llm_sentiment_headline_27,2.737964548525187,13.32588804215953
gated_attention_llm_sentiment_headline_28,2.321588813157527,9.417736029068424
gated_attention_llm_sentiment_headline_29,1.9412909636414917,7.006692190490781
gated_attention_llm_sentiment_headline_average,2.490665803012276,11.352594005062546
