model,mae,mse
llm_price_abstract_0,21.81729049234572,854.9568871486094
llm_price_abstract_1,26.65223297176957,1190.2083229543173
llm_price_abstract_2,23.434946628241832,973.1795788193216
llm_price_abstract_3,22.217393820077863,871.1543330668821
llm_price_abstract_4,24.368256745497767,1041.7934457582571
llm_price_abstract_5,24.483674514167877,1033.1848251965357
llm_price_abstract_6,48.56171156021194,2984.5747738134273
llm_price_abstract_7,46.62827579497507,2857.905541360394
llm_price_abstract_8,22.572854161647165,919.6621224819174
llm_price_abstract_9,36.29898687266572,1951.37844906476
llm_price_abstract_10,48.4991510507483,3105.490240749485
llm_price_abstract_11,26.89438761436648,1200.9225177893566
llm_price_abstract_12,26.672924311384755,1198.432122636053
llm_price_abstract_13,40.95877308368746,2328.8011830391742
llm_price_abstract_14,23.950892854670126,1010.1998588659897
llm_price_abstract_15,43.85958888100479,2634.108432661485
llm_price_abstract_16,49.3529627492624,3139.837810212799
llm_price_abstract_17,62.30471083145173,4544.7644045710485
llm_price_abstract_18,38.90688930878541,2036.4766760248497
llm_price_abstract_19,29.274535734369508,1362.1753892803058
llm_price_abstract_20,56.494872302915,3891.559285180359
llm_price_abstract_21,29.37526022664572,1333.0020463217145
llm_price_abstract_22,48.62380308870264,3042.1395646377778
llm_price_abstract_23,45.203107899576786,2794.0667607489563
llm_price_abstract_24,25.734360559666666,1145.7910700886753
llm_price_abstract_25,29.26518786105397,1370.2439901903192
llm_price_abstract_26,24.378590486771717,1033.444595308946
llm_price_abstract_27,25.316313932096335,1099.2923268758009
llm_price_abstract_28,37.79241719305201,2023.3001525073057
llm_price_abstract_29,25.044587609616176,1073.6599399334557
llm_price_abstract_average,34.497964704714285,1868.1902215762761
