model,mae,mse
baseline_lstm,1.881128100484382,6.477291824689129
concat_ensemble_headline,1.9266307248711416,6.746711997410575
concat_ensemble_weighted_headline,1.8671006289176029,6.447186097624118
llm_price_headline,2.3848466452262977,9.6202884785957
concat_llm_sentiment_headline,1.8796621904575868,6.509213844772273
concat_llm_embeddings_headline,23.594606622138695,953.215617313115
concat_llm_features_headline,1.945998304119443,6.79702503469313
baseline_lstm_lag3,3.630380600129705,21.29085291372349
concat_attention_ensemble_lag3_headline,4.469267060079644,31.813186601007455
concat_ensemble_abstract,1.9285491496506728,6.95767805889594
concat_ensemble_weighted_abstract,1.8652158843224251,6.438113240956433
llm_price_abstract,2.412529408509878,9.66494391980101
concat_llm_sentiment_abstract,1.8830804334061295,6.410991787750545
concat_llm_embeddings_abstract,23.905865355456335,983.3238232724304
concat_llm_features_abstract,1.9225999988190623,6.879839573307512
