Price,Adj Close,Close,High,Low,Open,Volume
Ticker,^DJI,^DJI,^DJI,^DJI,^DJI,^DJI
Date,,,,,,
2015-01-02,17832.990234375,17832.990234375,17951.779296875,17731.30078125,17823.0703125,76270000
2015-01-05,17501.650390625,17501.650390625,17821.30078125,17475.9296875,17821.30078125,116160000
2015-01-06,17371.640625,17371.640625,17581.05078125,17262.369140625,17504.1796875,101870000
2015-01-07,17584.51953125,17584.51953125,17597.080078125,17374.779296875,17374.779296875,91030000
2015-01-08,17907.869140625,17907.869140625,17916.0390625,17591.970703125,17591.970703125,114890000
2015-01-09,17737.369140625,17737.369140625,17915.3203125,17686.08984375,17911.01953125,93390000
2015-01-12,17640.83984375,17640.83984375,17793.880859375,17571.580078125,17742.05078125,92500000
2015-01-13,17613.6796875,17613.6796875,17923.009765625,17498.23046875,17645.01953125,99360000
2015-01-14,17427.08984375,17427.08984375,17609.060546875,17264.900390625,17609.060546875,109180000
2015-01-15,17320.7109375,17320.7109375,17517.41015625,17298.0390625,17436.30078125,94520000
2015-01-16,17511.5703125,17511.5703125,17528.369140625,17243.55078125,17320.0,140480000
2015-01-20,17515.23046875,17515.23046875,17588.69921875,17346.73046875,17516.9609375,119600000
2015-01-21,17554.279296875,17554.279296875,17599.580078125,17396.0390625,17509.9609375,95530000
2015-01-22,17813.98046875,17813.98046875,17840.890625,17482.5390625,17557.2890625,111980000
2015-01-23,17672.599609375,17672.599609375,17812.5,17667.529296875,17812.5,97110000
2015-01-26,17678.69921875,17678.69921875,17696.359375,17567.599609375,17668.109375,87220000
2015-01-27,17387.2109375,17387.2109375,17638.529296875,17288.310546875,17638.529296875,135940000
2015-01-28,17191.369140625,17191.369140625,17484.41015625,17189.0,17402.91015625,115980000
2015-01-29,17416.849609375,17416.849609375,17433.130859375,17136.30078125,17195.2890625,111690000
2015-01-30,17164.94921875,17164.94921875,17419.900390625,17156.8203125,17416.849609375,168560000
2015-02-02,17361.0390625,17361.0390625,17367.6796875,17037.759765625,17169.990234375,108090000
2015-02-03,17666.400390625,17666.400390625,17670.759765625,17369.970703125,17369.970703125,112860000
2015-02-04,17673.01953125,17673.01953125,17782.220703125,17603.2109375,17664.990234375,102560000
2015-02-05,17884.880859375,17884.880859375,17889.580078125,17677.259765625,17677.259765625,79890000
2015-02-06,17824.2890625,17824.2890625,17951.08984375,17764.400390625,17881.5390625,93610000
2015-02-09,17729.2109375,17729.2109375,17821.490234375,17685.3203125,17821.490234375,81590000
2015-02-10,17868.759765625,17868.759765625,17890.33984375,17729.240234375,17736.150390625,89930000
2015-02-11,17862.140625,17862.140625,17897.2109375,17759.650390625,17867.859375,89890000
2015-02-12,17972.380859375,17972.380859375,17975.650390625,17862.140625,17862.140625,117160000
2015-02-13,18019.349609375,18019.349609375,18037.41015625,17961.759765625,17968.650390625,85230000
2015-02-17,18047.580078125,18047.580078125,18052.009765625,17951.41015625,18019.80078125,98760000
2015-02-18,18029.849609375,18029.849609375,18048.69921875,17982.19921875,18045.720703125,75090000
2015-02-19,17985.76953125,17985.76953125,18028.669921875,17924.599609375,18028.669921875,79130000
2015-02-20,18140.439453125,18140.439453125,18144.2890625,17878.369140625,17985.76953125,111390000
