ticker,pub_date,headline,vader_pos,vader_neu,vader_neg,vader_label,drob_neg,drob_neu,drob_pos,drob_label,deb_pos,deb_neg,deb_neu,deb_label
AAPL,2015-04-07,M.B.A. Programs That Get You Where You Want to Go,0.126,0.874,0.0,Positive,0.25664622,0.34504315,0.39831066,Positive,0.003316417,0.03308097,0.9636026,Positive
AAPL,2015-04-14,What We’re Reading,0.0,1.0,0.0,Neutral,0.25441372,0.34368166,0.40190455,Positive,0.015302395,0.9796975,0.005000084,Neutral
AAPL,2015-04-13,IBM Creates Watson Health to Analyze Medical Data,0.231,0.769,0.0,Positive,0.2577669,0.3444435,0.3977896,Positive,0.018739715,0.754048,0.22721234,Neutral
AAPL,2015-04-22,What’s That on Beyoncé’s Wrist? Let Me Guess ... an Apple Watch,0.0,1.0,0.0,Neutral,0.25368828,0.34499195,0.4013198,Positive,0.34811524,0.3648517,0.28703305,Neutral
AAPL,2015-04-01,Daily Report: Tech Leaders Come Together to Oppose Indiana Law,0.0,1.0,0.0,Neutral,0.25957626,0.34215307,0.39827064,Positive,0.45102337,0.3865648,0.16241178,Negative
AAPL,2015-04-08,Dear Diary: My Week Wearing an Apple Watch,0.271,0.729,0.0,Positive,0.2542911,0.341974,0.40373495,Positive,0.00627921,0.6630938,0.33062702,Neutral
AAPL,2015-04-07,Diagnosing a Syncing Problem With iTunes,0.0,0.597,0.403,Negative,0.2552819,0.34399813,0.40072003,Positive,0.9494396,0.032437604,0.018122852,Negative
AAPL,2015-04-14,"BlackRock’s Chief, Laurence Fink, Urges Other C.E.O.s to Stop Being So Nice to Investors",0.179,0.694,0.127,Positive,0.25776273,0.34528416,0.39695308,Positive,0.48378983,0.14287955,0.3733307,Negative
AAPL,2015-04-08,"Apple Watch Review: Bliss, but Only After a Steep Learning Curve",0.207,0.793,0.0,Positive,0.25282308,0.34675145,0.4004255,Positive,0.01920163,0.030875301,0.94992304,Positive
AAPL,2015-04-23,Remotely Controlling the DVR,0.0,1.0,0.0,Neutral,0.2543725,0.34605333,0.39957413,Positive,0.011580266,0.688733,0.29968673,Neutral
AAPL,2015-05-01,"Apple, IBM and Japan Post See Profit in the Old-Age Market",0.225,0.775,0.0,Positive,0.25534275,0.34805402,0.3966032,Positive,0.01035287,0.5995063,0.39014077,Neutral
AAPL,2015-05-29,One-Tap Giving? Extra Steps Mire Mobile Donations,0.286,0.714,0.0,Positive,0.2558451,0.34185243,0.4023025,Positive,0.00494232,0.029314984,0.9657427,Positive
AAPL,2015-05-04,Apple TV Remote Expected to Add Touch Pad in Redesign,0.0,1.0,0.0,Neutral,0.25729045,0.34344742,0.3992621,Positive,0.20285222,0.7690092,0.028138574,Neutral
AAPL,2015-05-08,What We’re Reading,0.0,1.0,0.0,Neutral,0.25441372,0.34368166,0.40190455,Positive,0.015302395,0.9796975,0.005000084,Neutral
AAPL,2015-05-17,"Apple Acquires Coherent Navigation, a GPS Start-Up",0.0,1.0,0.0,Neutral,0.25554603,0.3455071,0.39894688,Positive,0.0063473694,0.79856956,0.19508316,Neutral
AAPL,2015-05-26,Two Apple Designers Step Up as Jony Ive Becomes Chief Design Officer,0.0,1.0,0.0,Neutral,0.25776514,0.34392792,0.398307,Positive,0.06317181,0.29059467,0.64623344,Positive
